p1,25.0514,5.7475,1,1
p2,26.6614,7.3414,1,1
p3,25.2653,6.2466,1,1
p4,25.2285,4.7447,1,1
p5,25.7529,5.1564,1,1
p6,24.0785,5.6693,1,1
p7,25.2722,6.8676,1,1
p8,24.6535,6.2443,1,1
p9,26.9834,6.633,1,1
p10,25.7437,6.3179,1,1
p11,26.4774,7.7416,1,1
p12,26.7373,4.4756,1,2
p13,27.1812,6.2972,1,1
p14,25.4999,5.6739,1,1
p15,25.3021,6.1431,1,1
p16,23.3609,5.6601,1,3
p17,25.5482,5.7107,1,1
p18,26.2198,5.7337,1,1
p19,25.884,6.3294,1,1
p20,24.4649,5.7521,1,1
p21,24.7708,6.7572,1,1
p22,25.3274,5.6463,1,1
p23,25.999,4.8551,1,1
p24,25.0238,6.2742,1,1
p25,25.8242,6.7848,1,1
p26,25.4286,6.2834,1,1
p27,27.3445,6.4697,1,1
p28,24.6236,6.1178,1,1
p29,27.126,6.1109,1,1
p30,25.677,5.9085,1,1
p31,25.539,6.3777,1,1
p32,25.0491,6.0603,1,1
p33,26.5924,6.0925,1,1
p34,25.217,7.7531,1,1
p35,25.2492,5.6486,1,1
p36,24.941,5.0184,1,1
p37,25.2814,7.5461,1,1
p38,24.8191,6.1316,1,1
p39,26.0105,6.8377,1,1
p40,25.0215,6.564,1,1
p41,25.1618,6.3064,1,1
p42,25.8955,5.4393,1,1
p43,24.8375,5.4416,1,1
p44,25.4562,6.702,1,1
p45,25.7161,5.5152,1,1
p46,26.7212,4.7424,1,2
p47,24.4649,7.2471,1,1
p48,24.6328,5.3473,1,1
p49,25.7253,6.7296,1,1
p50,27.1168,5.6946,1,1
p51,26.4958,5.9039,1,1
p52,25.1158,6.1914,1,1
p53,25.6103,7.6197,1,1
p54,26.3026,6.7802,1,1
p55,24.7915,6.2627,1,1
p56,25.0997,5.8004,1,1
p57,25.4838,7.0148,1,1
p58,25.4217,7.3138,1,1
p59,27.1306,6.9573,1,1
p60,24.3338,5.1679,1,1
p61,24.6236,5.6877,1,1
p62,25.5183,4.8229,1,1
p63,26.39,7.0401,1,1
p64,24.3039,4.8827,1,1
p65,25.5275,4.9333,1,1
p66,24.8973,7.1919,1,1
p67,24.7731,6.0925,1,1
p68,26.5855,6.8423,1,1
p69,25.6356,5.6371,1,1
p70,26.7718,5.5336,1,1
p71,24.8536,5.5152,1,1
p72,25.8587,5.2208,1,1
p73,25.2538,5.5727,1,1
p74,25.4838,4.9333,1,1
p75,25.5436,5.9844,1,1
p76,23.1838,5.7314,1,3
p77,27.7102,6.2535,1,1
p78,25.1204,4.6504,1,1
p79,25.2538,5.5681,1,1
p80,25.5137,6.357,1,1
p81,27.2249,5.5727,1,1
p82,24.6581,5.9936,1,1
p83,25.1894,5.4991,1,1
p84,25.2446,5.9591,1,1
p85,24.8007,4.4158,1,1
p86,26.275,5.5888,1,1
p87,25.8748,6.5456,1,1
p88,24.6328,6.7503,1,1
p89,24.8766,4.4664,1,1
p90,26.4498,6.6997,1,1
p91,25.148,5.9292,1,1
p92,24.5914,5.8004,1,1
p93,25.6954,5.9867,1,1
p94,26.344,5.9522,1,1
p95,26.8224,5.667,1,1
p96,26.1347,5.0161,1,1
p97,25.263,5.3082,1,1
p98,24.6305,6.8354,1,1
p99,25.8035,6.1937,1,1
p100,26.0243,7.5576,1,1
p101,18.4941,12.5877,2,4
p102,18.1606,12.5486,2,4
