10,563.225,56.748,0
11,564.887,58.119,0
12,565.434,68.061,0
13,565.926,79.953,0
14,566.762,69.405,0
15,567.99,81.669,0
16,569.194,62.483,0
17,569.791,55.458,0
18,570.576,73.136,0
19,572.167,73.306,0
20,573.101,47.248,0
21,573.649,88.769,0
22,575.847,55.477,0
23,576.019,55.179,0
24,576.686,66.819,0
25,577.379,44.799,0
26,577.513,51.055,0
27,578.727,80.574,0
28,579.476,39.921,0
29,580.633,44.737,0
30,581.278,65.616,0
31,582.023,54.002,0
32,583.593,76.708,0
33,583.796,79.86,0
34,584.366,53.483,0
35,586.459,59.779,0
36,587.023,85.774,0
37,587.679,71.899,0
38,588.232,39.995,0
39,588.672,51.99,0
40,589.312,38.724,0
41,591.027,44.019,0
42,591.4,91.172,0
43,592.217,89.381,0
44,593.16,66.805,0
45,594.063,66.893,0
46,594.76,74.765,0
47,595.356,80.827,0
48,595.79,75.361,0
49,596.355,83.586,0
50,596.668,86.122,0
51,598.529,58.733,0
52,599.626,59.223,0
53,600.848,85.828,0
54,601.795,80.356,0
55,602.177,43.649,0
56,603.088,68.333,0
57,604.009,86.323,0
58,605.044,65.636,0
59,605.162,87.564,0
60,605.689,81.98,0
61,606.666,65.305,0
62,609.273,46.702,0
63,609.805,79.983,0
64,610.426,66.076,0
65,611.214,67.693,0
66,612.12,50.623,0
67,612.611,80.34,0
68,615.622,67.058,0
69,616.511,69.774,0
70,185.148,187.84,1
71,186.379,210.891,1
72,190.146,203.939,1
73,192.725,200.574,1
74,193.58,191.945,1
75,196.524,209.577,1
76,198.153,194.02,1
77,199.639,189.935,1
78,200.871,193.293,1
79,202.992,198.882,1
80,206.631,195.446,1
81,208.041,192.715,1
82,209.812,189.853,1
83,211.981,200.95,1
84,214.217,207.195,1
85,216.775,196.353,1
86,218.926,212.944,1
87,220.754,190.068,1
88,221.351,191.195,1
89,222.246,185.421,1
90,223.856,211.078,1
91,224.959,201.679,1
92,226.243,191.191,1
93,227.497,199.323,1
94,232.63,208.815,1
95,233.817,198.346,1
96,236.097,201.321,1
97,241.224,206.679,1
98,242.439,191.389,1
99,244.763,189.957,1
100,245.674,206.491,1
101,247.434,208.13,1
102,249.004,200.664,1
103,249.977,198.39,1
104,250.814,208.034,1
105,253.545,215.389,1
106,256.788,192.156,1
107,257.962,208.085,1
108,260.626,210.016,1
