java A1_G6_t2 ./database/groceries.csv 0.15
[soda] 0.17437722419928825
[rolls/buns] 0.18393492628368074
[other vegetables] 0.1934926283680732
[whole milk] 0.25551601423487547
FPTree Processing Execution time: 0.438
java A1_G6_t2 ./database/T2_N100_D10K_Corr5.csv 0.01
[68] 0.0164
[10] 0.0168
[58] 0.0168
[92] 0.017
[49] 0.017
[57] 0.0172
[99] 0.0174
[36] 0.0174
[100] 0.0176
[5] 0.0177
[90] 0.0178
[29] 0.018
[12] 0.0181
[69] 0.0181
[96] 0.0182
[14] 0.0182
[18] 0.0182
[46] 0.0183
[75] 0.0183
[19] 0.0184
[16] 0.0185
[74] 0.0185
[45] 0.0186
[21] 0.0187
[93] 0.0189
[81] 0.0189
[42] 0.019
[88] 0.0191
[20] 0.0191
[31] 0.0192
[39] 0.0192
[72] 0.0192
[30] 0.0193
[3] 0.0194
[4] 0.0194
[9] 0.0194
[54] 0.0194
[63] 0.0194
[95] 0.0195
[41] 0.0195
[56] 0.0195
[15] 0.0196
[78] 0.0196
[94] 0.0197
[8] 0.0197
[73] 0.0197
[38] 0.0198
[53] 0.0198
[89] 0.02
[25] 0.02
[32] 0.02
[37] 0.02
[62] 0.02
[22] 0.0201
[34] 0.0201
[52] 0.0201
[79] 0.0202
[27] 0.0203
[47] 0.0203
[60] 0.0203
[24] 0.0204
[59] 0.0204
[51] 0.0206
[65] 0.0206
[35] 0.0207
[43] 0.0207
[67] 0.0207
[7] 0.0209
[71] 0.0209
[87] 0.0209
[55] 0.021
[80] 0.021
[85] 0.021
[13] 0.0211
[40] 0.0211
[76] 0.0211
[26] 0.0212
[70] 0.0212
[97] 0.0213
[98] 0.0213
[1] 0.0214
[61] 0.0214
[44] 0.0215
[11] 0.0217
[50] 0.0217
[77] 0.0218
[82] 0.0219
[33] 0.0221
[84] 0.0221
[86] 0.0221
[6] 0.0222
[91] 0.0223
[17] 0.0223
[28] 0.0228
[64] 0.0228
[83] 0.0229
[23] 0.0232
[48] 0.0234
[2] 0.0237
[66] 0.0244
[] 0.1374
FPTree Processing Execution time: 0.466
java A1_G6_t2 ./database/T5_N100_D10K_Corr5.csv 0.01
[38] 0.0422
[47] 0.0423
[96] 0.0431
[12] 0.0446
[79] 0.0449
[83] 0.0451
[23] 0.0454
[58] 0.0459
[71] 0.0459
[73] 0.0461
[80] 0.0461
[16] 0.0462
[51] 0.0462
[85] 0.0463
[86] 0.0465
[43] 0.0469
[57] 0.0471
[61] 0.0471
[19] 0.0472
[35] 0.0472
[78] 0.0475
[41] 0.0477
[72] 0.0477
[29] 0.0478
[32] 0.0478
[30] 0.0479
[24] 0.048
[62] 0.048
[90] 0.0481
[15] 0.0481
[89] 0.0483
[88] 0.0484
[54] 0.0484
[20] 0.0485
[49] 0.0485
[74] 0.0485
[9] 0.0486
[99] 0.0487
[56] 0.0488
[70] 0.0488
[5] 0.0489
[6] 0.0489
[39] 0.0489
[17] 0.049
[50] 0.049
[14] 0.0492
[95] 0.0493
[27] 0.0493
[28] 0.0494
[91] 0.0495
[18] 0.0495
[63] 0.0495
[98] 0.0498
[55] 0.0498
[3] 0.0499
[75] 0.0499
[31] 0.05
[34] 0.05
[87] 0.0501
[92] 0.0502
[42] 0.0502
[76] 0.0502
[100] 0.0502
[40] 0.0503
[37] 0.0504
[46] 0.0505
[7] 0.0508
[67] 0.0512
[13] 0.0514
[81] 0.0514
[48] 0.0515
[8] 0.0516
[97] 0.0517
[4] 0.0517
[22] 0.0517
[10] 0.0518
[11] 0.0518
[64] 0.0518
[84] 0.0518
[2] 0.052
[26] 0.052
[52] 0.052
[68] 0.0521
[1] 0.0523
[45] 0.0524
[77] 0.0525
[21] 0.0526
[33] 0.0528
[59] 0.0529
[93] 0.053
[36] 0.0531
[65] 0.0532
[66] 0.0532
[25] 0.0534
[44] 0.0535
[69] 0.0539
[82] 0.0539
[94] 0.0543
[60] 0.0544
[53] 0.0549
FPTree Processing Execution time: 0.843
java A1_G6_t2 ./database/T10_N1K_D10K_Corr5.csv 0.01
[952] 0.01
[713] 0.01
[967] 0.01
[606] 0.01
[620] 0.01
[875] 0.01
[522] 0.01
[893] 0.01
[418] 0.01
[311] 0.01
[581] 0.01
[584] 0.01
[223] 0.01
[586] 0.01
[229] 0.01
[231] 0.01
[363] 0.01
[140] 0.01
[144] 0.01
[148] 0.01
[150] 0.01
[394] 0.01
[157] 0.01
[74] 0.01
[181] 0.01
[85] 0.01
[5] 0.0101
[1000] 0.0101
[946] 0.0101
[949] 0.0101
[833] 0.0101
[962] 0.0101
[970] 0.0101
[610] 0.0101
[743] 0.0101
[508] 0.0101
[635] 0.0101
[767] 0.0101
[405] 0.0101
[889] 0.0101
[407] 0.0101
[529] 0.0101
[772] 0.0101
[416] 0.0101
[659] 0.0101
[538] 0.0101
[424] 0.0101
[553] 0.0101
[317] 0.0101
[439] 0.0101
[447] 0.0101
[327] 0.0101
[450] 0.0101
[694] 0.0101
[213] 0.0101
[216] 0.0101
[103] 0.0101
[345] 0.0101
[469] 0.0101
[352] 0.0101
[119] 0.0101
[498] 0.0101
[383] 0.0101
[54] 0.0101
[62] 0.0101
[196] 0.0101
[909] 0.0102
[931] 0.0102
[700] 0.0102
[845] 0.0102
[731] 0.0102
[621] 0.0102
[505] 0.0102
[748] 0.0102
[510] 0.0102
[641] 0.0102
[523] 0.0102
[766] 0.0102
[773] 0.0102
[897] 0.0102
[420] 0.0102
[548] 0.0102
[672] 0.0102
[319] 0.0102
[218] 0.0102
[100] 0.0102
[107] 0.0102
[592] 0.0102
[10] 0.0102
[16] 0.0102
[487] 0.0102
[375] 0.0102
[283] 0.0102
[287] 0.0102
[172] 0.0102
[79] 0.0102
[93] 0.0102
[935] 0.0103
[941] 0.0103
[710] 0.0103
[721] 0.0103
[747] 0.0103
[993] 0.0103
[759] 0.0103
[882] 0.0103
[763] 0.0103
[537] 0.0103
[785] 0.0103
[665] 0.0103
[552] 0.0103
[434] 0.0103
[200] 0.0103
[687] 0.0103
[330] 0.0103
[457] 0.0103
[459] 0.0103
[590] 0.0103
[350] 0.0103
[475] 0.0103
[240] 0.0103
[126] 0.0103
[492] 0.0103
[170] 0.0103
[293] 0.0103
[904] 0.0103
[3] 0.0104
[708] 0.0104
[835] 0.0104
[616] 0.0104
[859] 0.0104
[878] 0.0104
[999] 0.0104
[422] 0.0104
[430] 0.0104
[325] 0.0104
[326] 0.0104
[448] 0.0104
[577] 0.0104
[342] 0.0104
[359] 0.0104
[127] 0.0104
[253] 0.0104
[396] 0.0104
[161] 0.0104
[162] 0.0104
[6] 0.0105
[707] 0.0105
[844] 0.0105
[863] 0.0105
[876] 0.0105
[757] 0.0105
[883] 0.0105
[401] 0.0105
[769] 0.0105
[662] 0.0105
[543] 0.0105
[670] 0.0105
[795] 0.0105
[796] 0.0105
[220] 0.0105
[583] 0.0105
[115] 0.0105
[117] 0.0105
[125] 0.0105
[372] 0.0105
[254] 0.0105
[497] 0.0105
[149] 0.0105
[286] 0.0105
[91] 0.0105
[820] 0.0106
[824] 0.0106
[831] 0.0106
[963] 0.0106
[972] 0.0106
[984] 0.0106
[994] 0.0106
[413] 0.0106
[436] 0.0106
[559] 0.0106
[689] 0.0106
[104] 0.0106
[234] 0.0106
[118] 0.0106
[25] 0.0106
[259] 0.0106
[155] 0.0106
[73] 0.0106
[185] 0.0106
[80] 0.0106
[88] 0.0106
[193] 0.0106
[2] 0.0107
[832] 0.0107
[727] 0.0107
[760] 0.0107
[640] 0.0107
[764] 0.0107
[530] 0.0107
[774] 0.0107
[535] 0.0107
[546] 0.0107
[307] 0.0107
[691] 0.0107
[331] 0.0107
[102] 0.0107
[599] 0.0107
[479] 0.0107
[482] 0.0107
[362] 0.0107
[121] 0.0107
